,0
55,10.1109/ICC.2018.8423001
56,10.1109/ICECOS.2018.8605199
57,10.1109/ICECOS.2018.8605199
58,10.1109/ICFSP.2018.8552058
59,10.1109/ICFSP48124.2019.8938054
60,10.1109/ICIP42928.2021.9506401
61,10.1109/ICISFall51598.2021.9627412
62,10.1109/ICIT52682.2021.9491662
63,10.1109/ICS51289.2020.00057
64,10.1109/IMCOM51814.2021.9377380
65,10.1109/ISMAR-Adjunct54149.2021.00040
66,10.1109/ISMAR.2019.00033
67,10.1109/ISMAR50242.2020.00065
68,10.1109/SMC42975.2020.9283019
69,10.1109/SMC52423.2021.9659215
70,10.1109/SVR.2018.00029
71,10.1109/TAFFC.2018.2866865
72,10.1109/TCE.2018.2879065
73,10.1109/TCE.2021.3120445
74,10.1109/TLT.2021.3098315
75,10.1109/TMM.2020.2982046
76,10.1109/TOH.2019.2922901
77,10.1109/TVCG.2020.2983701
78,10.1109/UCET.2019.8881872
79,10.1109/VR.2018.8446195
80,10.1109/VR.2019.8797748
81,10.1109/VR.2019.8797748
82,10.1109/VR.2019.8797759
83,10.1109/VR46266.2020.00099
84,10.1109/VR46266.2020.1581313729558
85,10.1109/VR50410.2021.00094
86,10.1109/VRW50115.2020.00223
87,10.1109/VRW52623.2021.00035
88,10.1109/VRW52623.2021.00252
89,10.1109/VTC2021-Spring51267.2021.9448881
90,10.1109/WF-IoT.2018.8355103
91,10.1145/3173380
92,10.1145/3185153
93,10.1145/3188173.3188175
94,10.1145/3191745
95,10.1145/3205946.3205958
96,10.1145/3206025.3206072
97,10.1145/3208159.3208179
98,10.1145/3208159.3208180
99,10.1145/3208159.3208180
100,10.1145/3220511.3220516
101,10.1145/3233756.3233930
102,10.1145/3236621
103,10.1145/3240167.3240183
104,10.1145/3240167.3240183
105,10.1145/3242671.3242676
106,10.1145/3242671.3242714
107,10.1145/3279963.3279970
108,10.1145/3281151.3281156
109,10.1145/3281505.3281508
110,10.1145/3284432.3284452
111,10.1145/3297280.3297462
112,10.1145/3301019.3325150
113,10.1145/3301400
114,10.1145/3302425.3302445
115,10.1145/3303080
116,10.1145/3313831.3376144
117,10.1145/3313831.3376596
118,10.1145/3313831.3376643
119,10.1145/3316781.3317933
120,10.1145/3316782.3316783
121,10.1145/3334480.3383042
122,10.1145/3334480.3383042
123,10.1145/3340555.3356088
124,10.1145/3351108.3351139
125,10.1145/3351108.3351139
126,10.1145/3357251.3358751
127,10.1145/3357251.3358751
128,10.1145/3364183.3364195
129,10.1145/3381307.3381309
130,10.1145/3382507.3418844
131,10.1145/3384217.3384226
132,10.1145/3385956.3418942
133,10.1145/3387940.3391466
134,10.1145/3447527.3474850
135,10.1145/3472301.3484339
136,10.1145/3474085.3475701
137,10.1145/3478472.3478477
138,10.1145/3478472.3478477
139,10.1145/3483207.3483225
140,10.1145/3488162.3488228
141,10.1145/3489849.3489884
142,10.1145/3495002
143,10.1155/2018/9054758
144,10.1155/2019/1463204
145,10.1371/journal.pone.0245068
146,10.1371/journal.pone.0245068
147,10.14504/ajr.8.S1.3
148,10.2196/25771
149,10.2196/25771
150,10.2352/J.ImagingSci.Technol.2019.63.6.060413
151,10.2352/J.ImagingSci.Technol.2019.63.6.060413
152,10.23919/ELECO47770.2019.8990655
153,10.23919/ELECO47770.2019.8990655
154,10.23919/iLRN47897.2020.9155158
155,10.24963/ijcai.2019/196
156,10.24963/ijcai.2019/196
157,10.24963/ijcai.2019/196
158,10.3233/ATDE200076
159,10.3389/fnhum.2019.00401
160,10.3389/fnins.2019.01278
161,10.3389/fnins.2019.01278
162,10.3390/app11062804
163,10.3390/mti3020037
164,10.3390/mti3020037
165,10.3390/s18051622
166,10.3390/s20247088
167,10.3390/s21196649
168,10.3390/s21237854
169,10.3758/s13428-020-01516-y
170,10.5220/0010367801820188
171,10.5659/JAIK.2021.37.2.35
172,NO DOI
173,NO DOI
174,NO DOI
175,NO DOI
